"Agency Owner","Form Name","Adobe Form","Form Schema","Data Analysis","Instructions","GG Version","OMB Number","OMB Expiration"
"Grants.gov","Tangible Personal Property Report - Annual Report - SF-428-A","https://apply07.grants.gov/apply/forms/sample/SF428A-V1.0.pdf","https://apply07.grants.gov/apply/forms/schemas/SF428A-V1.0.xsd","https://www.grants.gov/web/grants/forms/postaward-fid.html?formId=628","https://apply07.grants.gov/apply/forms/instructions/SF428A-V1.0-Instructions.pdf","1.0	","4040-0018","11/30/2024"
"Grants.gov","Tangible Personal Property Report - Disposition Request/Report - SF-428-C","https://apply07.grants.gov/apply/forms/sample/SF428C_2_0-V2.0.pdf","https://apply07.grants.gov/apply/forms/schemas/SF428C_2_0-V2.0.xsd","https://www.grants.gov/web/grants/forms/postaward-fid.html?formId=794","https://apply07.grants.gov/apply/forms/instructions/SF428C_2_0-V2.0-Instructions.pdf","2.0	","4040-0018","11/30/2024"
"Grants.gov","Tangible Personal Property Report - Final Report - SF-428-B","https://apply07.grants.gov/apply/forms/sample/SF428B_2_0-V2.0.pdf","https://apply07.grants.gov/apply/forms/schemas/SF428B_2_0-V2.0.xsd","https://www.grants.gov/web/grants/forms/postaward-fid.html?formId=793","https://apply07.grants.gov/apply/forms/instructions/SF428B_2_0-V2.0-Instructions.pdf","2.0	","4040-0018","11/30/2024"
"Grants.gov","Tangible Personal Property Report - SF-428","https://apply07.grants.gov/apply/forms/sample/SF428_2_0-V2.0.pdf","https://apply07.grants.gov/apply/forms/schemas/SF428_2_0-V2.0.xsd","https://www.grants.gov/web/grants/forms/postaward-fid.html?formId=753","https://apply07.grants.gov/apply/forms/instructions/SF428_2_0-V2.0-Instructions.pdf","2.0	","4040-0018","11/30/2024"
"Grants.gov","Tangible Personal Property Report - Supplemental Sheet - SF-428-S","https://apply07.grants.gov/apply/forms/sample/SF428S-V1.0.pdf","https://apply07.grants.gov/apply/forms/schemas/SF428S-V1.0.xsd","https://www.grants.gov/web/grants/forms/postaward-fid.html?formId=631","https://apply07.grants.gov/apply/forms/instructions/SF428S-V1.0-Instructions.pdf","1.0	","4040-0018","11/30/2024"
"Grants.gov","SF-270 Request for Advance or Reimbursement","https://apply07.grants.gov/apply/forms/sample/SF270-V1.0.pdf","https://apply07.grants.gov/apply/forms/schemas/SF270-V1.0.xsd","https://www.grants.gov/web/grants/forms/postaward-fid.html?formId=552","https://apply07.grants.gov/apply/forms/instructions/SF270-V1.0-Instructions.pdf","1.0	","4040-0012","01/31/2025"
"Grants.gov","SF-271 Outlay Report and Request for Reimbursement for Construction Programs","https://apply07.grants.gov/apply/forms/sample/SF271-V1.0.pdf","https://apply07.grants.gov/apply/forms/schemas/SF271-V1.0.xsd","https://www.grants.gov/web/grants/forms/postaward-fid.html?formId=555","https://apply07.grants.gov/apply/forms/instructions/SF271-V1.0-Instructions.pdf","1.0	","4040-0011","01/31/2025"
"Grants.gov","Disclosure of Lobbying Activities (SF-LLL)","https://apply07.grants.gov/apply/forms/sample/SFLLL_1_2_P-V1.2.pdf","https://apply07.grants.gov/apply/forms/schemas/SFLLL_1_2_P-V1.2.xsd","https://www.grants.gov/web/grants/forms/postaward-fid.html?formId=535","https://apply07.grants.gov/apply/forms/instructions/SFLLL_1_2_P-V1.2-Instructions.pdf","1.2	","4040-0013","02/28/2025"
"Grants.gov","Federal Financial Report (SF-425)","https://apply07.grants.gov/apply/forms/sample/SF425_3_0-V3.0.pdf","https://apply07.grants.gov/apply/forms/schemas/SF425_3_0-V3.0.xsd","https://www.grants.gov/web/grants/forms/postaward-fid.html?formId=751","https://apply07.grants.gov/apply/forms/instructions/SF425_3_0-V3.0-Instructions.pdf","3.0	","4040-0014","02/28/2025"
"Grants.gov","Federal Financial Report Attachment (SF-425A)","https://apply07.grants.gov/apply/forms/sample/SF425a_2_0-V2.0.pdf","https://apply07.grants.gov/apply/forms/schemas/SF425a_2_0-V2.0.xsd","https://www.grants.gov/web/grants/forms/postaward-fid.html?formId=752","https://apply07.grants.gov/apply/forms/instructions/SF425a_2_0-V2.0-Instructions.pdf","2.0	","4040-0014","02/28/2025"
"Grants.gov","INSTRUCTIONS FOR THE SF-429 Real Property Status Report","https://apply07.grants.gov/apply/forms/sample/SF429Instructions-V1.0.pdf","https://apply07.grants.gov/apply/forms/schemas/SF429Instructions-V1.0.xsd","https://www.grants.gov/web/grants/forms/postaward-fid.html?formId=556","","1.0	","4040-0016","02/28/2025"
"Grants.gov","SF-429 Real Property Status Report (Cover Page)","https://apply07.grants.gov/apply/forms/sample/SF429_2_0-V2.0.pdf","https://apply07.grants.gov/apply/forms/schemas/SF429_2_0-V2.0.xsd","https://www.grants.gov/web/grants/forms/postaward-fid.html?formId=754","https://apply07.grants.gov/apply/forms/instructions/SF429_2_0-V2.0-Instructions.pdf","2.0	","4040-0016","02/28/2025"
"Grants.gov","SF-429-A Real Property Status Report ATTACHMENT A (General Reporting)","https://apply07.grants.gov/apply/forms/sample/SF429A-V1.0.pdf","https://apply07.grants.gov/apply/forms/schemas/SF429A-V1.0.xsd","https://www.grants.gov/web/grants/forms/postaward-fid.html?formId=557","https://apply07.grants.gov/apply/forms/instructions/SF429A-V1.0-Instructions.pdf","1.0	","4040-0016","02/28/2025"
"Grants.gov","SF-429-B Real Property Status Report ATTACHMENT B (Request to Acquire, Improve or Furnish)","https://apply07.grants.gov/apply/forms/sample/SF429B-V1.0.pdf","https://apply07.grants.gov/apply/forms/schemas/SF429B-V1.0.xsd","https://www.grants.gov/web/grants/forms/postaward-fid.html?formId=558","https://apply07.grants.gov/apply/forms/instructions/SF429B-V1.0-Instructions.pdf","1.0	","4040-0016","02/28/2025"
"Grants.gov","SF-429-C Real Property Status Report ATTACHMENT C (Disposition or Encumbrance Request)","https://apply07.grants.gov/apply/forms/sample/SF429C-V1.0.pdf","https://apply07.grants.gov/apply/forms/schemas/SF429C-V1.0.xsd","https://www.grants.gov/web/grants/forms/postaward-fid.html?formId=559","https://apply07.grants.gov/apply/forms/instructions/SF429C-V1.0-Instructions.pdf","1.0	","4040-0016","02/28/2025"